n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
150 1.5 0.02403020881973561 0.00035243922401703844 0.018777081842953597 0.00016785618732131335 0.02737632495621889 0.08369749649468045 -0.06298021273587827
151 1.51 0.024182130035273974 0.0003513658106334839 0.018897335314791236 0.00016749484866843863 0.027554621884105512 0.08424926271740357 -0.0633971868033402
152 1.52 0.024333898745628135 0.0003502951431946168 0.01901749618717244 0.00016713417019139398 0.02773283713088248 0.08480090370194948 -0.06381410131498018
153 1.53 0.02448551425283746 0.00034922721526715184 0.01913756398886589 0.0001667741507788782 0.027910970214645364 0.08535241858461745 -0.06423095582617064
154 1.54 0.02463697586244501 0.00034816202043212057 0.019257538250310416 0.00016641478932137915 0.028089020654231966 0.08590380650127083 -0.06464774989159416
155 1.55 0.024788282883484003 0.00034709955228484125 0.01937741850361674 0.00016605608471117222 0.028266987969218754 0.08645506658733021 -0.06506448306524112
156 1.56 0.024939434628471813 0.00034603980443488836 0.019497204282555344 0.0001656980358423161 0.028444871679925543 0.08700619797777343 -0.06548115490041297
157 1.57 0.025090430413394538 0.00034498277050606154 0.019616895122559777 0.00016534064161065137 0.028622671307411557 0.08755719980714377 -0.06589776494971808
158 1.58 0.02524126955770023 0.00034392844413635466 0.019736490560719036 0.00016498390091379647 0.02880038637347407 0.08810807120953779 -0.0663143127650724
159 1.59 0.02539195138428596 0.00034287681897792605 0.019855990135777657 0.00016462781265114606 0.028978016400649953 0.08865881131861708 -0.06673079789769937
160 1.6 0.025542475219488492 0.0003418278886970676 0.019975393388127705 0.0001642723757238672 0.0291555609122148 0.0892094192676019 -0.06714721989812987
161 1.61 0.025692840393072958 0.00034078164697417325 0.020094699859807844 0.00016391758903489727 0.02933301943218017 0.089759894189272 -0.06756357831619944
162 1.62 0.025843046238223033 0.0003397380875037104 0.020213909094501617 0.00016356345148894088 0.029510391485294885 0.09031023521597203 -0.06797987270105002
163 1.6300000000000001 0.02599309209153089 0.0003386972039941889 0.020333020637529634 0.00016320996199246726 0.029687676597043328 0.09086044147960376 -0.06839610260112823
164 1.6400000000000001 0.026142977292984204 0.0003376589901681299 0.0204520340358485 0.00016285711945370726 0.029864874293646676 0.09141051211163326 -0.06881226756418495
165 1.6500000000000001 0.026292701185959944 0.00033662343976203666 0.02057094883804722 0.00016250492278265083 0.03004198410205991 0.0919604462430883 -0.06922836713727543
166 1.6600000000000001 0.026442263117209652 0.0003355905465263643 0.0206897645943437 0.00016215337089104425 0.030219005549972255 0.09251024300455846 -0.06964440086675779
167 1.67 0.026591662436853125 0.00033456030422548944 0.020808480856580047 0.00016180246269238702 0.03039593816580663 0.09305990152619636 -0.0700603682982927
168 1.68 0.026740898498364085 0.0003335327066376804 0.020927097178220583 0.00016145219710192958 0.030572781478718725 0.0936094209377148 -0.07047626897684356
169 1.69 0.02688997065856269 0.0003325077475550666 0.02104561311434787 0.00016110257303667032 0.03074953501859648 0.09415880036839347 -0.07089210244667535
170 1.7 0.027038878277604816 0.00033148542078360996 0.021164028221657805 0.00016075358941535292 0.03092619831606 0.0947080389470733 -0.07130786825135402
171 1.71 0.027187620718971017 0.00033046572014307414 0.021282342058458706 0.00016040524515846343 0.03110277090245983 0.09525713580215756 -0.0717235659337459
172 1.72 0.027336197349456803 0.00032944863946699464 0.021400554184664508 0.00016005753918822772 0.03127925230987663 0.0958060900616165 -0.07213919503601747
173 1.73 0.02748460753916232 0.00032843417260264974 0.021518664161796916 0.00015971047042860886 0.0314556420711217 0.09635490085298415 -0.07255475509963458
174 1.74 0.027632850661481967 0.0003274223134110307 0.021636671552973677 0.00015936403780530403 0.03163193971973616 0.09690356730335575 -0.07297024566536278
175 1.75 0.027780926093094904 0.000326413055766812 0.021754575922912564 0.00015901824024574203 0.03180814478998581 0.0974520885393968 -0.07338566627326486
176 1.76 0.027928833213954563 0.0003254063935583218 0.021872376837923577 0.00015867307667908064 0.03198425681686992 0.09800046368733195 -0.07380101646270186
